"Level_03","n"
"Central European Highlands",324
"Rocky Mountains",106
"Pacific Coast Ranges",86
"Southwest European Highlands",82
"Intermountain West",68
"Northwest European Highlands",65
"East European Highlands",52
"Northern Andes",48
NA,40
"North European Highlands",37
"Alaska-Yukon Ranges",33
"Southern Andes",29
"Central Andes",26
"Southeast European Highlands",26
"Maghreb Mountains",17
"Verkhoyansk mountain system",16
"Caucasus Mountains",15
"Sikhote-Alin Area",15
"Albertine Rift Mountains",14
"Japanese Archipelago",13
"Mediterranean islands",13
"South European Highlands",11
"Arctic Cordillera",10
"Canadian Shield",10
"Eastern Rift mountains",9
"Tasmania",8
"Malay Archipelago",7
"Tian Shan",7
"Great Escarpment",6
"Kolyma Mountains",6
"Anatolian / Armenian Highlands",5
"Chukotka Mountains",5
"Ethiopian Highlands",5
"Great Dividing Range",5
"Atlantic Plateau (Brazil)",4
"Coastal Belt (South Africa)",4
"Levant Ranges",4
"Macaronesian Islands",4
"South Island",4
"Cameroon line",3
"Cordillera de la Costa (Chile)",3
"Eastern Arc Mountains",3
"Anadyr Highlands",2
"Central Range (Madagascar)",2
"Fiji",2
"Iranian Plateau",2
"Meseta Patagónica",2
"Tibetan Plateau",2
"Altai-Sayan region",1
"Central China Mountains",1
"Guiana Highlands",1
"Hawaian Islands",1
"Horn of Africa Highlands",1
"Iceland",1
"Kazakh Uplands",1
"Koryak Mountains",1
"Kuril Islands",1
"Mexican Highlands",1
"Mongolian Highlands",1
"New Caledonia",1
"Nigerian Highlands",1
"Society Islands",1
"Vanuatu Islands",1
